1924.3,1160.4,695.09,518.56
43.534,44.92,111.06,109.59
376.61,439.5,439.42,376.47
153.69,155.22,221.57,219.96
376.38,439.37,439.29,376.24
264.2,265.87,332.43,330.68
376.14,439.24,439.16,376
375.07,376.88,443.66,441.76
375.91,439.11,439.03,375.77
486.3,488.25,555.24,553.2
375.68,438.97,438.89,375.53
597.88,599.97,667.18,665.01
375.44,438.84,438.76,375.3
41.23,42.611,108.61,107.14
272.13,334.77,334.59,271.89
151.16,152.68,218.89,217.28
271.73,334.47,334.29,271.49
261.44,263.1,329.52,327.77
271.33,334.17,333.99,271.09
372.07,373.87,440.51,438.62
270.93,333.87,333.69,270.69
483.06,485,551.85,549.83
270.53,333.56,333.38,270.29
594.41,596.49,663.56,661.39
270.13,333.26,333.08,269.88
38.937,40.312,106.17,104.71
168.09,230.46,230.18,167.75
148.63,150.15,216.22,214.62
167.52,230,229.72,167.18
258.68,260.33,326.61,324.88
166.96,229.53,229.25,166.62
369.08,370.87,437.37,435.49
166.39,229.06,228.78,166.05
479.84,481.77,548.48,546.46
165.82,228.59,228.31,165.48
590.95,593.02,659.95,657.79
165.25,228.12,227.84,164.9
36.652,38.022,103.74,102.29
64.468,126.59,126.21,64.031
146.12,147.63,213.56,211.97
63.74,125.96,125.58,63.302
255.94,257.58,323.72,322
63.009,125.33,124.95,62.57
366.11,367.89,434.24,432.38
62.276,124.69,124.31,61.836
476.63,478.55,545.12,543.11
61.541,124.06,123.67,61.099
587.5,589.57,656.35,654.2
60.804,123.42,123.03,60.36
