491.5,728.99,327.28,243.95
22.599,23.321,54.964,54.236
182.11,211.68,210.56,181.07
75.236,75.967,107.33,106.6
180.38,209.82,208.71,179.35
127.42,128.16,159.25,158.51
178.66,207.97,206.87,177.63
179.14,179.89,210.72,209.97
176.95,206.14,205.05,175.94
230.43,231.19,261.75,260.99
175.27,204.32,203.24,174.26
281.27,282.04,312.34,311.57
173.59,202.52,201.45,172.59
21.397,22.118,53.752,53.025
132.86,162.41,161.42,131.95
74.018,74.748,106.11,105.37
131.34,160.76,159.78,130.44
126.18,126.92,158.01,157.26
129.84,159.13,158.15,128.94
177.9,178.64,209.46,208.71
128.34,157.51,156.54,127.46
229.17,229.92,260.48,259.72
126.86,155.9,154.94,125.98
280,280.76,311.06,310.29
125.4,154.31,153.36,124.52
20.196,20.917,52.54,51.814
83.652,113.17,112.31,82.868
72.801,73.531,104.88,104.14
82.347,111.74,110.89,81.57
124.95,125.69,156.77,156.02
81.055,110.32,109.47,80.284
176.65,177.4,208.21,207.45
79.773,108.91,108.07,79.009
227.9,228.66,259.21,258.44
78.502,107.52,106.68,77.745
278.72,279.48,309.77,309
77.242,106.13,105.31,76.492
18.996,19.716,51.33,50.604
34.48,63.978,63.246,33.825
71.585,72.314,103.65,102.92
33.391,62.76,62.034,32.741
123.72,124.46,155.53,154.78
32.31,61.552,60.833,31.667
175.4,176.15,206.95,206.2
31.239,60.355,59.641,30.601
226.64,227.4,257.94,257.17
30.178,59.168,58.46,29.545
277.44,278.21,308.49,307.72
29.125,57.991,57.289,28.498
